"","school","score","college","white","el","prop_college"
"1",5,318.01,1,1,0,0.666666666666667
"2",5,288.43,0,1,0,0.666666666666667
"3",5,342.72,1,1,0,0.666666666666667
"4",5,348.76,1,1,0,0.666666666666667
"5",5,278.44,1,1,0,0.666666666666667
"6",5,327.95,1,1,0,0.666666666666667
"7",5,275.68,1,1,0,0.666666666666667
"8",5,296.04,1,1,0,0.666666666666667
"9",5,308.04,1,1,0,0.666666666666667
"10",5,314.69,1,1,0,0.666666666666667
"11",5,318,1,1,0,0.666666666666667
"12",5,286.23,1,1,0,0.666666666666667
"13",5,321.8,1,1,0,0.666666666666667
"14",5,238.93,0,1,0,0.666666666666667
"15",5,266.42,0,0,1,0.666666666666667
"16",5,336.74,1,1,0,0.666666666666667
"17",5,293.44,1,1,0,0.666666666666667
"18",5,319.12,0,1,0,0.666666666666667
"19",5,261.56,0,0,0,0.666666666666667
"20",5,290.54,1,0,0,0.666666666666667
"21",5,300.82,1,1,0,0.666666666666667
"22",5,343.51,1,1,0,0.666666666666667
"23",5,306.44,1,1,0,0.666666666666667
"24",5,317.75,0,0,0,0.666666666666667
"25",5,290.89,0,1,0,0.666666666666667
"26",5,274.27,0,1,0,0.666666666666667
"27",5,237.59,0,1,0,0.666666666666667
"28",45,235.25,1,1,0,0.655172413793103
"29",45,304.14,1,1,0,0.655172413793103
"30",45,275.43,1,1,0,0.655172413793103
"31",45,297.49,0,1,0,0.655172413793103
"32",45,303.2,1,1,0,0.655172413793103
"33",45,326.36,1,1,0,0.655172413793103
"34",45,294.06,0,1,0,0.655172413793103
"35",45,284.87,1,1,0,0.655172413793103
"36",45,316.61,1,1,0,0.655172413793103
"37",45,320.27,0,1,0,0.655172413793103
"38",45,309.46,0,1,0,0.655172413793103
"39",45,295.51,1,1,0,0.655172413793103
"40",45,311.61,0,1,0,0.655172413793103
"41",45,325.53,0,1,0,0.655172413793103
"42",45,329.64,1,1,0,0.655172413793103
"43",45,334.87,0,1,0,0.655172413793103
"44",45,320.55,1,1,0,0.655172413793103
"45",45,314.14,1,0,0,0.655172413793103
"46",45,312.3,1,1,0,0.655172413793103
"47",45,304.72,1,1,0,0.655172413793103
"48",45,274.97,1,1,0,0.655172413793103
"49",45,340.39,1,1,0,0.655172413793103
"50",45,273.11,1,1,0,0.655172413793103
"51",45,262.42,0,1,0,0.655172413793103
"52",45,322.32,0,1,0,0.655172413793103
"53",45,315.25,1,1,0,0.655172413793103
"54",45,249.83,0,1,0,0.655172413793103
"55",45,235.33,1,1,0,0.655172413793103
"56",45,282.64,1,1,0,0.655172413793103
"57",56,247.58,1,0,0,0.391304347826087
"58",56,310.43,0,1,0,0.391304347826087
"59",56,248.79,0,1,0,0.391304347826087
"60",56,260.6,0,0,0,0.391304347826087
"61",56,250.13,1,0,0,0.391304347826087
"62",56,290.7,1,0,0,0.391304347826087
"63",56,203.67,0,0,1,0.391304347826087
"64",56,292.85,0,0,0,0.391304347826087
"65",56,255.06,0,0,0,0.391304347826087
"66",56,226.04,0,0,0,0.391304347826087
"67",56,295.04,0,0,0,0.391304347826087
"68",56,288.87,0,0,0,0.391304347826087
"69",56,300.8,0,0,0,0.391304347826087
"70",56,269.84,1,0,0,0.391304347826087
"71",56,282.68,1,1,0,0.391304347826087
"72",56,290.5,0,1,0,0.391304347826087
"73",56,235.63,1,0,1,0.391304347826087
"74",56,253.13,0,0,0,0.391304347826087
"75",56,318.92,1,1,0,0.391304347826087
"76",56,242.69,0,1,0,0.391304347826087
"77",56,271.15,0,0,0,0.391304347826087
"78",56,299.72,1,1,0,0.391304347826087
"79",56,331.8,1,0,0,0.391304347826087
"80",75,219.67,0,1,0,0.5
"81",75,270.28,1,1,0,0.5
"82",75,329.66,1,1,0,0.5
"83",75,331.84,1,1,0,0.5
"84",75,271.88,0,0,0,0.5
"85",75,277.06,1,1,0,0.5
"86",75,321.15,0,1,0,0.5
"87",75,290.65,0,1,0,0.5
"88",75,223.22,1,1,0,0.5
"89",75,236.91,0,0,1,0.5
"90",75,325.84,0,1,0,0.5
"91",75,294.54,0,0,0,0.5
"92",75,296.73,0,1,0,0.5
"93",75,340.81,1,1,0,0.5
"94",75,250.72,0,0,0,0.5
"95",75,274.46,1,1,0,0.5
"96",75,294.55,1,1,0,0.5
"97",75,335.71,1,1,0,0.5
"98",75,240.47,1,1,0,0.5
"99",75,318.9,1,1,0,0.5
"100",75,302.05,0,1,0,0.5
"101",75,352.04,0,1,0,0.5
"102",75,247.81,1,0,0,0.5
"103",75,258.44,1,0,0,0.5
"104",75,273.8,0,0,0,0.5
"105",75,314.73,0,1,0,0.5
"106",75,315.39,1,1,0,0.5
"107",75,306.98,0,1,0,0.5
"108",76,287.56,1,1,0,0.818181818181818
"109",76,323.87,1,1,0,0.818181818181818
"110",76,341.97,1,1,0,0.818181818181818
"111",76,275.7,0,1,0,0.818181818181818
"112",76,270.88,1,0,0,0.818181818181818
"113",76,283.39,0,1,0,0.818181818181818
"114",76,341.53,1,1,0,0.818181818181818
"115",76,280.5,1,1,0,0.818181818181818
